assignmentID,state,workerID,userid
21693889,completed,1176025,15942354
21693890,completed,1604688,2910119906
21693891,completed,1133018,208635570
21693896,completed,1578997,167323929
21693899,completed,1304991,563323390
21693900,completed,1679070,17716125
21693903,completed,1745338,1111737354
21693905,completed,1701024,1151340560
21693906,completed,1379197,895727944361844736
21693907,completed,1701513,907037658907598848
21693909,completed,1640354,42465261
21693910,completed,1723034,138923548
21693911,completed,1715250,908151387413823488
21693913,completed,1613930,5230001
21693917,completed,1698765,1280643254
21693918,completed,1647538,62705092
21693920,completed,1210601,17359504
21693921,completed,578963,2474642102
21693923,completed,1740646,760909878785302529
21693924,completed,1660171,901165658242781184
21693927,completed,1735757,824148849136664579
21693928,completed,54584,42825235
21693930,completed,1691604,841015832
21693931,completed,1002785,949056720
21693932,completed,1709351,4466614932
21693934,completed,1711787,900802113181171712
21693935,completed,1745462,2400615468
21693936,completed,1727342,2985915754
21693937,completed,1646400,760268102269448193
