Date,Day of week,Number of tweets,Number of tweets in the morning(8-12),Number of tweets in the afternoon(12-18),Number of tweets in the night(18-8),Main tweeting time,Number of words,Number of urls contained,Number of tweets with ?,Number of tweets with !,Number of user mentioned,Number of reply
2017-10-01,Sunday,7,0,5,2,Afternoon ,131,1,1,1,1,1
2017-10-02,Monday,1,1,0,0,Morning ,19,0,0,0,0,0
2017-10-03,Tuesday,11,1,0,10,Night,208,6,0,6,11,0
2017-10-04,Wednesday,7,2,3,2,Afternoon ,143,2,0,2,3,0
2017-10-05,Thursday,12,9,0,3,Morning ,219,4,0,4,16,0
2017-10-07,Saturday,12,2,5,5,Afternoon Night,233,2,2,2,5,0
2017-10-08,Sunday,12,0,5,6,Night,208,2,0,2,5,0
2017-10-09,Monday,5,2,0,3,Night,94,2,0,2,3,0
2017-10-10,Tuesday,10,4,3,3,Morning ,212,2,1,2,4,0
2017-10-11,Wednesday,17,5,2,8,Night,290,4,1,4,8,0
2017-10-12,Thursday,12,4,2,4,Morning Night,170,4,0,4,4,0
2017-10-13,Friday,19,5,4,7,Night,290,6,0,6,2,0
2017-10-14,Saturday,10,5,0,4,Morning ,172,2,0,2,17,0
2017-10-15,Sunday,4,0,2,2,Afternoon Night,85,1,0,1,4,0
2017-10-16,Monday,7,0,6,1,Afternoon ,148,1,1,1,1,1
2017-10-17,Tuesday,12,1,3,7,Night,164,8,0,8,6,0
2017-10-18,Wednesday,18,6,3,7,Night,302,7,1,7,6,0
2017-10-19,Thursday,13,3,2,4,Night,169,2,2,2,7,0
2017-10-20,Friday,9,3,0,5,Night,142,4,0,4,6,0
2017-10-21,Saturday,14,1,6,7,Night,265,3,1,3,1,0
2017-10-22,Sunday,3,1,2,0,Afternoon ,60,0,0,0,1,0
2017-10-23,Monday,4,2,1,1,Morning ,90,1,0,1,0,0
2017-10-24,Tuesday,8,0,6,2,Afternoon ,167,1,0,1,0,0
2017-10-25,Wednesday,20,4,4,8,Night,283,7,0,7,9,0
2017-10-26,Thursday,9,0,7,2,Afternoon ,122,5,0,5,2,0
2017-10-27,Friday,20,5,4,6,Night,218,7,0,7,9,0
2017-10-28,Saturday,9,0,3,6,Night,164,2,0,2,0,2
2017-10-29,Sunday,6,0,6,0,Afternoon ,137,0,2,0,0,0
2017-10-30,Monday,4,2,2,0,Morning Afternoon ,55,0,2,0,1,0
2017-10-31,Tuesday,21,0,9,8,Afternoon ,305,6,0,6,2,0
2017-11-01,Wednesday,19,3,3,13,Night,340,6,0,6,12,2
2017-11-02,Thursday,13,2,1,10,Night,248,6,1,6,5,0
2017-11-03,Friday,16,6,8,2,Afternoon ,328,2,0,2,1,0
2017-11-04,Saturday,10,0,3,3,Afternoon Night,117,3,0,3,3,0
2017-11-05,Sunday,5,0,0,5,Night,89,4,0,4,1,0
2017-11-06,Monday,11,0,1,6,Night,102,2,0,2,2,1
2017-11-07,Tuesday,21,6,1,10,Night,306,10,0,10,3,2
2017-11-08,Wednesday,4,0,3,1,Afternoon ,75,4,0,4,1,0
2017-11-09,Thursday,5,0,1,4,Night,106,5,0,5,1,0
2017-11-10,Friday,8,5,1,1,Morning ,132,6,0,6,0,0
2017-11-11,Saturday,9,0,2,6,Night,159,6,1,6,0,0
2017-11-12,Sunday,3,2,1,0,Morning ,39,3,0,3,0,0
2017-11-13,Monday,7,0,4,1,Afternoon ,114,2,0,2,0,0
2017-11-14,Tuesday,8,2,1,5,Night,143,5,0,5,2,0
2017-11-15,Wednesday,19,9,4,2,Morning ,263,3,2,3,13,0
2017-11-16,Thursday,8,2,1,5,Night,179,2,2,2,0,0
2017-11-17,Friday,5,2,1,2,Morning Night,101,3,0,3,1,0
