workerID,HitID,assignmentID,userid
AC6P8A8PDBJPD,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,31JLPPHS2VC7AUIQLHPQUNSYO923OR,1110579860
A1K1DAGLV6OI81,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,31JLPPHS2VC7AUIQLHPQUNSYOA8O3K,704933741827903488
A9NCQ5B04J7TD,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,31N2WW6R9S8D4H5XME607TJKWC3F3H,555935947
A95RHRMLHT89M,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,326O153BMJGJGV7YKSS62KKWBK0EDB,321503536
A2GCNSW7Q5OZ9Z,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,326O153BMJGJGV7YKSS62KKWBP1DEL,20955083
AIBWOPRVKTPGM,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,32VNZTT0A8MVP3TADNBDYNP9DW34R7,745017856086024192
A1XTZBD6M60PYD,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,32VNZTT0A8MVP3TADNBDYNP9DW4R4V,880058749301522433
A1OPXJUSHW6DSN,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,33FBRBDW6PHS22RT7TBVQ46SFMLC8F,375357374
A3OXI3SXDSOO1U,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,34FNN24DCNRMIN9W5NMHBBOKGFBY56,302425651
A1HNR6OIRFCEHS,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,34PGFRQONPTQ0HTHFO8NROM9N81JW9,36943708
A3O71N1DK8FP3Y,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,34YB12FSQZ6K43923GHXLDS2XIOMG7,69296484
A3SL5QRF7MX2P1,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,352YTHGROWVI09F7HIZJKJN3QN0H4I,157096063
A146ZLJI2W6ZFN,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,35K3O9HUACVGEFLUBYNWQKNHNXFFEM,247336962
A3MLZO0WZQVKHV,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,35USIKEBNSYOPS5W34NBM14D8QI6N4,3270149173
A24TLPFCKY4DBK,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,36TFCYNS45S9YB3H1T1OHUK1JMJXHZ,51879466
A3FSV55XSK0FJ4,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,36WLNQG780SQ1Y9E6W107UWW8ZREB7,910364157568065537
AH6RC209CIQ7F,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,379J5II41PY2E7VQX9QULXS1KYTLEZ,3224664349
ASDJTBZCQ9ZB0,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,37C0GNLMHGLF3GEJEA98QWSJUMI6DO,847114200
A3C2QUMRIR1KKE,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,37U1UTWH9W4W84GCPQ1QFZ5EFNR8RK,806959230725062656
ACYBU0ZVZ49F4,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,37WLF8U1WQ8NHMKT6RVVU9N9EZCK6K,594175841
AQ4PB1PVI9U7V,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,37Z929RLGAQR738D7DCQW56XF1XTSI,2339937650
AK11BPNWE727G,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,37ZHEEHM6X40POQR4V8OJ163YOG731,1230507480
A3SLDTBPEJF1RJ,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,38YMOXR4MVHECMEAV5EYIKH4123W62,2477657358
A3PZFH5OCGESG3,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,39GHHAVOMG9ERFAX5I24WW3I3F34J9,69561735
A2DYZ49I6S8L9E,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,39JEC7537VJQDEN6FMM5IIQ0QKZCVX,233483854
A726VAH3Z12JD,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,39K0FND3AIXJUCWZHGPNPRHZZJCMAO,1039962811
APC6HO3LLQ001,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,39L1G8WVWR9ME2BPFFRFIRFQVZW138,475449193
ACV6KEOU0K33U,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,39N5ACM9HF5BAWJ7HQ3FA00AY909PT,83019739
A3J9ORWWVZCEOI,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,39U1BHVTDM9NNMNYHYBPOXYLNMTT3N,7279572
ATVYXLWEH5N03,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3AZHRG4CU52M7DQ7JWNF4MWGQ6003C,14374677
A1NH2G11HUD06S,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3BWI6RSP7HR3ZM6OTFPK2SA0PE2E7X,897979685782654977
A177O16TK7HSSI,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3CFVK00FWM3Y1S2BRR7W990O3ZP6LH,914200007447859201
A3NMU6AVMQ0QDB,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3DBQWDE4Y7GS6O5IYLD6UVQDCVP5N5,266157134
A3DEXML5NUW91B,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3DHE4R9OCXTUXZ59TYYD64E4RB5G24,8335562
AL1Z3VFMDSWPI,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3DL65MZB8EX9B31KKWXVIE2EQO0ECV,1429173990
A2QWLDS4IFI9KM,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3DUZQ9U6SN66KVC2C8C5XNUICM1VSO,1643407830
A22J9VIBGZTUSL,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3DYGAII7PMQH2V0TYSE1WVQZ8A8QP2,87518552
A3IOQRD1PK15VN,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3DZQRBDBSMXM8MAJSY6ZES2ZL3BS3T,38994137
A1DBIB1NOWE9D3,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3E1QT0TDFQRJF5DTZ37H174NSR6I8O,3522
A1IU4Y9NR4NNQ,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3EFE17QCRDN12UHI7JV1IM39485SHC,964719822541131776
A2VWC6MUZ4JXFQ,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3EG49X351VUT1MJ05AAKK3VBA5JX68,590607245
AVX0ZUXA96O0V,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3EJJQNKU9SNP1FH5SUVWSCYDI2CHRV,1350919195
A2ZH3P1O6W56GG,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3EKVH9QMEZMRLFVIR8X50JB7ELM2DH,17566736
AS0QXP8RRVC05,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3FIUS151DWKKCTDGSDJ288851TQGG1,93582389
A1V8TY7FNEJI60,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3FQ5JJ512M6VO7QL58HCWK9V9PJNKF,809183192
A2RJTSVUKA4OOC,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3G0WWMR1UW2HZAOGID19S6L48WXNQV,2805022064
A3LE6B5ITOGOZB,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3G2UL9A02EWZM7D9NX6MQ4IN8C867Q,762208601117192192
A1J6AHTSS48N5X,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3GU1KF0O4JJUYPY4FAHB16V0M6PBPL,2875173506
A1B2V27QSGPT6W,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3H7XDTSHKD9G9F3G7INKUBUTVLBWGJ,42113215
AEMKB98WAW7YA,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3HRMW88U178NTZYHPESU0L5MQXNM0K,2923426928
A2DBO2J3ZTM71M,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3I3WADAZ9RMAO95UZ0DJ9KQI25SO51,171900735
A1HAOXJVRYT43K,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3IHR8NYAM8JADQDV0V7OTSPUCEDP4Y,939249179318194181
AJV9BBT8RDIIA,3OKP4QVBP2EGFI2JGBMQN21F4ABAGM,3IO1LGZLKAF3MLISX2YS44EIJ0K68R,15626456
